Year,Inflation,Unemployment,GDP Growth,Population Growth
1970,3.34603981363832,5.9,2.91871307258708,1.39783160033129
1971,2.70491803278685,6.4,4.01884508716894,2.94819452761436
1972,4.98802873104551,6.3,5.51967005803644,1.16084656651465
1973,7.48764728240211,5.6,6.72864134770903,1.22261658426849
1974,10.997171145686,5.4,3.35777600467976,1.39602166927373
1975,10.672188595094,,1.5454033263216,1.45942491323998
1976,7.54173862982148,7.09,5.88927586333716,1.31580656558804
1977,7.9764453961457,8.049,3.53482660580218,1.17025687783266
1978,8.97372335151214,8.376,3.73597638764802,0.99545694441135
1979,9.14467697907181,7.525,3.72519949149593,0.989698733234704
1980,10.1292205085453,7.537,2.17719921287991,1.28959497847156
1981,12.4716124148372,7.607,3.41506518150013,1.23339725480528
1982,10.7689718997139,11.04,-3.16615022065891,1.18962434077573
1983,5.86358802977368,12.018,2.56225358775578,0.988487567147771
1984,4.30477830391737,11.344,5.8985694010334,0.944034716041094
1985,3.96203054065205,10.503,4.73768081475092,0.91377427539001
1986,4.19478629085621,9.593,2.12148083355379,0.994040150630969
1987,4.3561087122174,8.82,4.07201574110678,1.31816778174498
1988,4.02823414871611,7.762,4.41083900341744,1.29662488995999
1989,4.98362189985958,7.547,2.33732975738413,1.79419351491939
1990,4.78047693336304,8.131,0.202947874139198,1.50766067284807
1991,5.62586408593005,10.316,-2.0910550979319,1.24276123131684
1992,1.49013290374545,11.197,0.890466180427183,1.18367554138942
1993,1.86507936507939,11.377,2.65770691557481,1.09893087887878
1994,0.165562913907291,10.395,4.49404929532982,1.09525810706129
1995,2.14876033057849,9.489,2.68232822733793,1.03476948386834
1996,1.57053112507138,9.62,1.68896122499937,1.04531178311831
1997,1.62121638084531,9.101,4.28016683621337,0.993788591465188
1998,0.99594245665802,8.279,3.89288654344983,0.829909353323744
1999,1.73484295105918,7.583,5.14100353715349,0.812842623716166
2000,2.71943995691976,6.829,5.1385391803606,0.931281553452429
2001,2.52512013979906,7.219,1.87509810696022,1.0861994547665
2002,2.25839440940855,7.665,2.99925535017809,1.08479328329522
2003,2.75856321360112,7.574,1.80638512302554,0.899226809998674
2004,1.85725871857256,7.185,3.09236384292251,0.932186964148048
2005,2.21355203439767,6.758,3.21045439063563,0.94708626967041
2006,2.00202539534161,6.484,2.63794375007348,1.01355939144957
2007,2.13838399266837,6.156,2.04990463726786,0.970654173316653
2008,2.37027067444299,6.284,0.995406301140747,1.083871149194
2009,0.299466803009299,8.46,-2.91508621550267,1.14470768476526
2010,1.77687154092627,8.178,3.09080634469335,1.11135202971694
2011,2.91213508872351,7.637,3.13719442170364,0.97540725097113
2012,1.51567823124517,7.392,1.75566129145483,1.08374652233653
2013,0.938291897815317,7.143,2.32581354806429,1.05338098055318
2014,1.90663590717861,7.023,2.87346677785811,1.00142284689661
2015,1.12524136094277,6.945,0.649971001734855,0.760300145238936
2016,1.42875954701085,7.038,1.03855092490855,1.13153974027004
2017,1.59688412852977,6.426,3.03383491200222,1.19543575451553
2018,2.26822567248103,5.837,2.74296344906655,1.43322615679352
2019,1.94926902411593,5.69,1.90843194590616,1.46171259938134
2020,0.716999632307827,9.657,-5.03823343468899,1.08436897113225
2021,3.39519318527528,7.527,5.95052802804381,0.553902422386893
2022,6.80280115341613,5.28,4.18903628100851,1.80390457488184
2023,3.87900159788426,5.415,1.52874550838358,2.90468017061162
2024,2.38158383281173,,1.5280811085284,2.96220294420494
