Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,3.43915343915341,,7.17569474653776,26829.7630995603,1.97018887868806
1971,6.13810741687984,,4.0005792969926,26975.665521972,3.38029353689954
1972,6.02409638554213,,3.9104527931282,27520.0005055853,1.83814626273502
1973,9.09090909090915,,2.6195976089295,27812.4455074509,1.52881691369673
1974,15.4166666666666,,4.10711278665762,28231.0239084901,2.53122025874137
1975,15.1624548736462,,1.3357695075495,28258.0654813537,1.23118588792285
1976,13.3228840125392,,2.5884380278226,28700.2946314702,1.0026582602274
1977,12.3098201936376,,3.59512457668694,29399.0024788699,1.1266726798225
1978,8.0049261083744,,0.893490698041518,29318.7463550853,1.16288525870675
1979,9.12200684150515,6.265,4.0504187128889,30178.3894488631,1.08064227016539
1980,10.1358411703239,6.105,3.03565589087171,30717.7780327511,1.21894271014757
1981,9.48766603415561,5.784,3.33996423845188,31251.8203349363,1.56179416103558
1982,11.3518197573657,7.163,3.32538571540215,31736.0447520616,1.73374392907748
1983,10.0389105058366,9.961,-2.22435122536369,30608.3684024318,1.36850145877848
1984,3.96039603960396,8.987,4.59374363846101,31632.3892749783,1.20054276571915
1985,6.734693877551,8.258,5.27845501291684,32861.4162378766,1.33209683462492
1986,9.05035054174634,8.081,3.96632897039611,33674.1705521479,1.44650206312761
1987,8.53302162478083,8.106,2.55962217359244,34014.7354121968,1.52113890433154
1988,7.21593968766828,7.226,5.75781883918933,35389.4553320904,1.63614876307642
1989,7.53390256152688,6.175,3.87335950546905,36143.1477787181,1.69287969389346
1990,7.33302195235872,6.926,3.57741096455418,36886.1444273767,1.48004693689661
1991,3.17667536988685,9.586,-0.382260201054848,36279.7540525751,1.2746217855676
1992,1.01223112610714,10.733,0.428289544126571,36029.4845675544,1.11959770147047
1993,1.75365344467641,10.879,4.04672816534581,37155.5123959647,0.889539825558206
1994,1.96963479688141,9.724,3.98038838722397,38264.146671105,0.963092494678111
1995,4.62776659959759,8.473,3.88592623460093,39310.7982327944,1.11373422085118
1996,2.61538461538461,8.509,3.86388891398424,40337.1060519133,1.21385498322201
1997,0.224887556221887,8.367,3.91324731942255,41464.4982180697,1.0820399195962
1998,0.860134629768142,7.684,4.66321460379962,42967.6616681962,0.996734717801419
1999,1.48312940304041,6.876,5.02768409342292,44636.9418129494,1.09397580294231
2000,4.45743514797224,6.288,3.9215029305806,45859.5162097045,1.14447285147721
2001,4.40713536201469,6.747,2.02510553454593,46191.3142366289,1.28396809127349
2002,2.98157453936348,6.375,3.97958568067362,47486.2783216389,1.1375387361946
2003,2.73259596616786,5.933,3.09076190489348,48394.1269478095,1.15019273319182
2004,2.34325522482583,5.399,4.22428481359962,49902.0187022536,1.06919812205752
2005,2.69183168316832,5.036,3.15416753184221,50853.1976727529,1.21729073052406
2006,3.55528773727026,4.785,2.75534610557227,51553.9685966991,1.34945083098893
2007,2.32761128891476,4.381,3.77332171303566,52531.7611201084,1.82499679529254
2008,4.35029854990048,4.242,3.58626695226046,53336.1012157008,2.00391140524272
2009,1.77111716621254,5.565,1.89255581922549,53237.0077642312,2.06083316277243
2010,2.91834002677376,5.214,2.21998026536549,53578.8125049759,1.55570626204128
2011,3.3038501560874,5.083,2.40708018291988,54111.357240336,1.38952731561803
2012,1.76278015613196,5.225,3.91670942454073,55257.5739287362,1.74582000067359
2013,2.4498886414254,5.663,2.60219339436559,55728.0174035719,1.721151439989
2014,2.48792270531404,6.078,2.59528411594042,56327.8533063277,1.49156648912847
2015,1.50836672165921,6.055,2.19016928695221,56739.0265346593,1.43921665259925
2016,1.27699094497324,5.711,2.7593859723839,57401.0662268939,1.56194049810399
2017,1.94864740944527,5.592,2.27959179820343,57750.6482221688,1.64682779735017
2018,1.91140094445691,5.345,2.87846971467883,58530.7821697117,1.49599671041328
2019,1.61076787290379,5.143,2.17154505737176,58924.733646242,1.47749071058438
2020,0.846905537459305,6.394,-0.119590735829973,58132.798523626,1.23342825131378
2021,2.86391042204994,5.023,2.11116814768786,59276.503107197,0.14089508329287
2022,6.59409671341846,3.728,4.24238555336139,61009.8077147403,1.27269881377618
2023,5.5970149253731,3.668,3.44199220009025,61598.1776089916,2.42431553908742
2024,3.1616142830575,,1.4311125201703,61211.8967637303,2.05004113352233
