Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,5.83825533848251,4.9,0.184619362250075,25231.1271568518,1.16500266687286
1971,4.29276668813051,5.9,3.29272245024868,25734.4828326397,1.26433369185094
1972,3.27227824655283,5.6,5.25550196715072,26798.5336088951,1.07052275237269
1973,6.17776006377038,4.9,5.64567975906083,28042.5519161983,0.954476728552297
1974,11.0548048048048,5.6,-0.540550189302294,27637.2997739418,0.913660196067714
1975,9.14314686496535,8.5,-0.205619193188355,27309.8688161152,0.985986067347125
1976,5.74481263549085,7.7,5.38803390599543,28509.143056991,0.950220048994522
1977,6.5016839947284,7.1,4.62418650861058,29528.9663680223,1.00577199618134
1978,7.63096383885606,6.1,5.53520647919645,30834.99923167,1.0595730803427
1979,11.2544711292795,5.8,3.16598822778928,31462.1003883959,1.10357656509899
1980,13.5492019749684,7.1,-0.256775736225364,31081.62163338,0.959589922764484
1981,10.3347153402771,7.6,2.53770126586743,31559.1293373937,0.981415437259678
1982,6.13142700027493,9.7,-1.80301378017963,30696.0834358718,0.953317566163514
1983,3.21243523316065,9.6,4.58379097983199,31810.9216083487,0.914378513375149
1984,4.30053547523429,7.5,7.23645316716272,33818.8235524677,0.865817336309961
1985,3.54564415209365,7.2,4.16957534780626,34918.1302027193,0.886129040850881
1986,1.89804772234276,7.0,3.46265504853929,35794.8877745985,0.924164157058979
1987,3.6645632175169,6.2,3.45462966726373,36701.9453883904,0.893829201032046
1988,4.07774110744413,5.5,4.17698239554727,37889.3773472194,0.907999040167679
1989,4.82700303008944,5.3,3.67223783532349,38911.5418949927,0.944405555428529
1990,5.39795643990325,5.6,1.88596558335223,39200.0658103964,1.12965052045579
1991,4.23496396453849,6.8,-0.108312881913292,38637.8398159491,1.33626074073779
1992,3.02881967814969,7.5,3.52249717698845,39447.9472847522,1.38688569247935
1993,2.95165696638559,6.9,2.7517958662618,40002.4762262205,1.31867999977741
1994,2.60744159215453,6.119,4.02902272603258,41106.9881841375,1.2262960888682
1995,2.80541968853662,5.65,2.68443073360764,41710.8207239918,1.19078709090209
1996,2.93120419993441,5.451,3.77277269138068,42783.8165710653,1.16341161998189
1997,2.33768993730735,5.0,4.44712793805328,44151.6860411494,1.20396029701272
1998,1.55227909874364,4.511,4.48313335029331,45596.4306860229,1.16571452642589
1999,2.18802719697358,4.219,4.78842504949371,47234.2455275781,1.14834004729055
2000,3.37685727149929,3.992,4.07758576006954,48616.2546267835,1.11276899679534
2001,2.82617111885407,4.731,0.95553834188668,48597.4246130164,0.989741382223669
2002,1.58603162650601,5.783,1.7004473278454,48967.3661209521,0.927797485710314
2003,2.27009497336115,5.989,2.79560596521233,49905.5233079503,0.859481712840946
2004,2.67723669309172,5.529,3.84777169424153,51348.3473392466,0.925483968943482
2005,3.3927468454955,5.084,3.48354993544559,52649.5713058632,0.921713167161207
2006,3.22594410070404,4.623,2.78453963817891,53596.3152369749,0.964253917136075
2007,2.85267248150138,4.622,2.00385829909158,54152.8292653448,0.951055242772428
2008,3.839100296651,5.784,0.113587248160997,53703.9628962873,0.945865287282592
2009,-0.355546266299747,9.254,-2.57650023225001,51863.6183424227,0.876651298802912
2010,1.6400434423899,9.633,2.69519258234851,52812.682985453,0.846129865832117
2011,3.156841568622,8.949,1.56440685537306,53215.5362316915,0.79239433316435
2012,2.06933726526067,8.069,2.289113386319,54000.8410760833,0.79838290137163
2013,1.46483265562717,7.375,2.11783009786468,54728.8601798884,0.756560083436754
2014,1.62222297740817,6.168,2.52381981372621,55665.2411167663,0.796023797809134
2015,0.118627135552451,5.28,2.94555045599772,56849.4697923159,0.797904713382564
2016,1.26158320570536,4.869,1.81945147620522,57430.8499282527,0.785625485688815
2017,2.13011000365961,4.355,2.45762230175086,58435.9707521832,0.692906252591617
2018,2.44258329692817,3.896,2.96650506916596,59817.6556796969,0.586433075122573
2019,1.81221007526021,3.669,2.58382533018889,61047.9648235152,0.515108555014533
2020,1.23358439630629,8.055,-2.16302913866512,59484.0335530935,0.408427566758519
2021,4.69785886363742,5.349,6.05505293304556,62986.6563127547,0.157317408951545
2022,8.00279982052121,3.65,2.5123753198332,64198.4324880296,0.575744520494521
2023,4.11633838374488,3.638,2.88755600905984,65505.2557007675,0.83149318773707
2024,2.94952520485207,,2.79619035621393,66682.6147044553,0.976421684505429
