Year,Inflation,Unemployment,GDP Growth,GDP per capita,Population Growth
1970,6.36656841727441,,2.70858153682573,19285.6497705878,0.39872245794476
1971,9.44483742337133,3.3,3.50471738545724,19878.3583978122,0.417666617474017
1972,7.07109839479797,3.7,4.32166764202839,20667.2422127603,0.3390575157182
1973,9.19603316657812,2.6,6.52384843630249,21973.0492038987,0.19319818644469
1974,16.0440111889861,2.6,-2.4844040531604,21413.6423467213,0.0630592101531556
1975,24.2072876743291,4.0,-1.47364945070458,21099.6465690657,-0.0074233627201987
1976,16.5595225588084,5.5,2.91026612567198,21719.0454960571,-0.024603832530328
1977,15.8402667458768,5.8,2.45775045448153,22260.1620046358,-0.0328738482390269
1978,8.26314103860768,5.7,4.20426054150653,23194.7939594163,0.0053599076571216
1979,13.4212799774012,5.3,3.74901665139554,24042.7876941013,0.0897286611918231
1980,17.9659242656857,6.8,-2.03136779227732,23526.2555043517,0.119517254129019
1981,11.8766265142296,10.4,-0.787743871332012,23332.8025676938,0.0348217320561183
1982,8.59886383332186,10.9,1.99489122707782,23806.7980916528,-0.0358427938348334
1983,4.60930327269779,11.088,4.22185632959007,24803.4271519669,0.0341013738761532
1984,4.96071097821927,10.901,2.26910518849139,25326.1296660232,0.158261863204096
1985,6.07139434015119,11.48,4.14741500851991,26316.7154348235,0.226951225450001
1986,3.42760940369314,11.508,3.15034060940542,27082.9819543398,0.231610229834337
1987,4.14892232052945,11.017,5.39273832197856,28482.8666757154,0.212637260699709
1988,4.15535171583102,9.004,5.73241357407845,30048.820666255,0.222063893961785
1989,5.76024909185262,7.405,2.57760282965882,30743.2275250086,0.260311450078262
1990,8.06346090938833,6.969,0.733755470094508,30876.3706404357,0.298930554095876
1991,7.46178295746934,8.55,-1.10312166586773,30441.4813420211,0.309247932319381
1992,4.59154929577461,9.772,0.401082085841935,30481.0348883355,0.270431182081877
1993,2.55857796929705,10.346,2.48983092921434,31165.1544491287,0.239745439286479
1994,2.21901260504205,9.648,3.84600918007958,32281.4801601039,0.254586486858912
1995,2.69749518304432,8.694,2.53167000543779,33011.2945663233,0.264547416858702
1996,2.85178236397749,8.189,2.58199387517438,33777.5280810971,0.254626384215086
1997,2.20114313510882,7.072,4.92464829983174,35349.7906380412,0.257553323280351
1998,1.82056163731557,6.198,3.40265822823224,36446.2616767045,0.291406085432392
1999,1.7529508005142,6.042,3.05832327041962,37435.884438888,0.333405882184416
2000,1.18295624210408,5.558,4.34163419265596,38921.896573883,0.357300887421605
2001,1.53234960272418,4.696,2.57278043964686,39769.8719792093,0.384975969564228
2002,1.52040245947455,5.037,1.79566074059649,40312.9824110757,0.423337079636281
2003,1.37650038542013,4.807,3.15234651882265,41390.6062127939,0.465641113602993
2004,1.39039756680422,4.594,2.45790443810543,42167.3557264259,0.568943113421317
2005,2.0891364902507,4.884,2.73266076681189,43023.2277090836,0.68661130607346
2006,2.4556616643929,5.473,2.38069403532468,43724.8957366594,0.73504867842129
2007,2.38656150773327,5.399,2.62487995340285,44524.5706965197,0.778666112441256
2008,3.52140856342539,5.748,-0.248797260756646,44065.6156693521,0.787032622318939
2009,1.96173173560109,7.683,-4.62055370768425,41712.8319164411,0.756390859593407
2010,2.49265472467065,7.973,2.23331508815346,42311.4329830247,0.783888646646516
2011,3.8561124468282,8.195,1.13836239840663,42459.9630182272,0.781506562236639
2012,2.5732347965453,8.279,1.50899834668228,42794.7752628767,0.712282568284022
2013,2.29166666666659,7.752,1.79992149702836,43274.3377519631,0.669537112028056
2014,1.45112016293279,6.398,3.19463731938923,44324.3923234579,0.747135714780007
2015,0.36804684232536,5.552,2.22288842280334,44983.885522934,0.721624002974263
2016,1.0084173681141,4.909,1.92171009934007,45485.6509977812,0.79421971482011
2017,2.55775577557747,4.501,2.65650487566202,46439.8616757792,0.545706020084833
2018,2.29283990345938,4.145,1.40519025981538,46862.9673585729,0.488451313281444
2019,1.73810460086513,3.657,1.62447518038404,47379.8014800553,0.514596380840432
2020,0.989486703772491,4.518,-10.296918859171,42429.1857996453,0.169447088341033
2021,2.51837109614213,4.865,8.57595087393024,45902.8331986448,0.358937930235741
2022,7.92204883147902,3.768,4.83908517877134,47682.7615349036,0.921336799385098
2023,6.79396706793963,4.025,0.39708234553963,47251.4387159432,1.30497972307431
2024,3.2715729463592,,1.10066786639271,47265.0009525678,1.0659564474212
