Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,2.09265591464249,20.4403072150505,,,48.6
1982,-0.367503627007494,21.1238208061002,,,45.5
1983,0.548157847582459,31.3759108444063,,,42.6
1984,6.89313733975376,28.5764106856386,,,39.8
1985,-1.51419697864081,32.2652170803233,,,37.2
1986,-2.66238260240461,34.9501661129568,,,34.8
1987,-5.34800638009034,33.5574412532637,,,32.8
1988,-4.1855517203644,32.0875665215288,,,30.9
1989,-1.02551228646894,28.4635183527305,,,29.4
1990,8.92712683802395,27.6038241691537,,,28.1
1991,0.612997939991217,24.8209917722926,,,26.9
1992,0.0703543901579025,25.0115989708549,,,25.9
1993,-1.69982007313997,25.8574007220217,,,25.0
1994,6.50928779878551,25.0955741802676,,,24.3
1995,-1.30636375843737,24.7415304260723,,,23.7
1996,0.0677771442323802,26.9520547945205,,,23.1
1997,2.67502125431653,19.4931342150225,,,22.7
1998,-0.915191995716683,20.1841719735701,,,22.2
1999,-1.72128358303503,21.5708380308155,,1.99897488467453,21.8
2000,3.5178018108289,20.7980556074891,,2.53768844221106,21.4
2001,-5.79960877399309,20.5122732123799,,3.57755452095075,21.1
2002,-7.5371051751447,15.470686400569,,1.96356754199196,20.8
2003,1.75159744658461,15.0631099544567,,3.01624129930394,20.4
2004,1.47757366141985,13.7906526480896,,1.41891891891892,20.1
2005,2.78261536346285,13.2451098544544,,1.19920053297802,19.8
2006,5.86726101068508,14.0770607475674,8.006,2.04081632653061,19.5
2007,0.387169374214395,16.4921169042308,,3.93548387096774,19.0
2008,2.9853548158102,15.5054040058133,,4.84171322160149,18.5
2009,0.453966271093378,16.4345447934616,4.565,4.29706572955358,17.9
2010,-1.08593808514806,18.2718936549942,1.848,2.76269469477348,17.3
2011,0.92597879599046,16.908787460997,,0.873793104781101,16.8
2012,-1.1852141346526,16.1696353820838,,1.34740362877658,16.3
2013,-1.74696050530071,15.7395525302684,,1.45893371757925,16.0
2014,0.305492659735435,13.8910340052725,,0.798863838096929,15.7
2015,1.67602106503972,15.839754583444,,2.48326875660444,15.4
2016,1.19513802690024,14.462056871712,,0.842069084035058,15.3
2017,2.00579895676259,17.436529766986,,3.08452624403545,15.1
2018,0.464610871247203,16.9185579184488,,2.33096379566871,15.0
2019,0.86298251414631,20.5742205677059,5.444,2.76252019386107,14.9
2020,-7.17743078607894,23.4063033098571,4.046,5.32935073101714,14.8
2021,-3.80855711163811,24.0378713193579,,2.34328358208955,14.6
2022,2.77435704923444,23.883421650265,,6.67930581887123,14.4
2023,-3.24062171975532,,,11.1825017088175,14.2
2024,1.63020976636477,,,,
