Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,0.589285105722027,21.9803625688911,7.54,13.3144055680071,9.8
1982,2.06907254844478,22.4597013935932,8.2,11.9784719523806,9.4
1983,0.717848547478113,22.6182749465078,7.918,9.45954847235317,9.1
1984,1.11432810235115,22.7730618029772,9.533,7.67380262247321,8.8
1985,1.06265235277525,22.8282833942538,10.259,5.83109973854518,8.5
1986,1.86751539834408,22.4962737111015,10.23,2.53852591781415,8.3
1987,1.99730005194385,22.3337328835311,10.735,3.28889821400134,8.1
1988,4.21003285861991,21.8693616502998,10.18,2.70081527508112,7.9
1989,3.78375169549521,21.3132285046722,9.618,3.49830220700749,7.7
1990,2.268451182731,21.3629677651223,9.36,3.19428338029476,7.4
1991,0.729685951027619,21.8324524649692,9.134,3.21340732409687,7.1
1992,1.01174283165568,22.4482751517868,10.203,2.36376046269354,6.7
1993,-0.791444096179944,23.5592092126581,11.32,2.10446277124644,6.2
1994,2.00092888436674,23.3227822524955,12.593,1.65551532926993,5.7
1995,1.93291761763854,23.2620235385924,11.834,1.79648142095594,5.3
1996,1.03528502888366,23.5693022234551,12.367,1.98288365089738,4.9
1997,2.16193589623612,23.4573330897567,12.566,1.20394294026963,4.6
1998,3.06997018708124,22.7089061303217,12.074,0.651126867833041,4.4
1999,2.86728569454124,22.7259043484992,11.981,0.537141639134644,4.2
2000,3.42869029655284,22.4026551978725,10.218,1.67595988720928,4.1
2001,1.1593271284506,22.259556730345,8.61,1.63478079549602,3.9
2002,0.335619014023663,22.857888310331,8.702,1.9234122872706,3.8
2003,0.257866805308325,23.2625915298209,8.306,2.09847219146923,3.6
2004,2.11736543407739,23.1521854419976,8.914,2.14208964640241,3.5
2005,1.1253537135494,23.1175353538954,8.882,1.74586936380482,3.4
2006,2.00131130247657,22.7854420708586,8.832,1.67512449608723,3.3
2007,1.89856745333175,22.4734674757104,8.008,1.4879980595386,3.2
2008,-0.178410661195599,22.5895511441534,7.386,2.81286194914787,3.2
2009,-3.32212444604225,24.0880419778451,9.122,0.0876204781574486,3.1
2010,1.49872466177408,23.9798091765185,9.279,1.53112270420927,3.1
2011,1.94433505424516,23.7010905265759,9.228,2.11159795174999,3.1
2012,-0.299598729272304,23.9564328020669,9.841,1.95419531613501,3.1
2013,0.26214454973659,24.0757206386355,9.913,0.863715497861873,3.1
2014,0.519383764691739,24.081442589149,10.273,0.507758822937963,3.1
2015,0.708030590350688,23.7757617692292,10.354,0.0375143805125298,3.2
2016,0.594243752389232,23.7569423186251,10.057,0.183334861123829,3.2
2017,1.78779549384231,23.7013842025535,9.409,1.03228275064667,3.3
2018,1.28216603702126,23.3500758354509,9.018,1.85081508315501,3.3
2019,1.68870844116209,23.0348422675243,8.415,1.10825492288292,3.3
2020,-7.74056751254994,24.8398357365701,8.009,0.476498852725014,3.3
2021,6.50155219757207,24.3515984176563,7.871,1.64233141038393,3.4
2022,2.23598928910201,23.8613635807316,7.303,5.22236748369736,3.4
2023,0.607649202523703,23.1235606057224,7.335,4.87835726508438,3.4
2024,0.827702874030308,,7.388,1.99904942291464,
