Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,2.42596293058266,21.9381669244575,,,78.3
1982,-3.50080649950205,23.4431778049136,,,74.2
1983,1.90068623874957,31.4440118919771,,,70.5
1984,-3.9819118632871,35.3386650576044,,,67.3
1985,-6.34298617236558,35.730704667712,3.2,,64.5
1986,-3.30466953331114,35.3510782850756,4.7,,61.9
1987,-2.95729751691646,34.2330672335019,5.8,,59.6
1988,-14.4368658409524,32.2084003856666,6.0,,57.3
1989,-4.01338935580978,26.6969508807477,8.66,,55.1
1990,-2.35955546973541,43.4792056528719,,,52.9
1991,-2.46398821920231,20.5506391347099,,,50.5
1992,-1.85750643208351,19.6720214190094,,,48.1
1993,-2.55575157455552,17.5887250569794,,,45.7
1994,1.16653527605601,7.49096592667875,,,43.3
1995,3.77641566640617,7.51657999473092,,,41.0
1996,4.38727575317672,7.34507965495221,,,38.8
1997,2.24599060138242,6.91524311357816,,,36.6
1998,2.1384399499342,7.12629932963073,,,37.3
1999,5.51571518995972,8.227810985919,,,32.6
2000,2.67944162568968,8.67671427742945,,,30.8
2001,1.64157183542785,8.96260821490308,4.12,,29.2
2002,-0.460685992278769,8.74502652362897,,,27.6
2003,1.31955360750133,9.18469723668059,7.6,,26.2
2004,4.0749066715682,9.08413312739566,6.41,,24.9
2005,2.93169257880047,9.42815325263766,5.37,,23.6
2006,2.67777444612834,15.1654912987376,5.31,9.14019966777721,22.5
2007,3.57801456385216,14.0182886289557,4.89,11.1269347446118,21.4
2008,1.96391791132177,13.8379880801305,6.2,19.8262031287429,20.4
2009,-4.66051140515347,14.4977920453949,8.16,3.68700160498796,19.4
2010,2.9388092403868,14.0971885412328,7.83,5.45513425887423,18.5
2011,4.82579847166105,13.5986900703289,,8.08238798099103,17.6
2012,5.0120845551519,13.5686638804069,5.208,7.19355053338954,16.8
2013,3.47943447123747,13.7621211200531,5.28,7.13546785289406,16.0
2014,3.35791289379488,14.2795824550978,4.52,6.03596861798429,15.3
2015,3.37914204919937,14.0522981904084,4.7,3.99737996694396,14.6
2016,3.16650951067395,14.4608322130013,3.9,3.52317317628478,13.9
2017,3.24691576299918,14.4104462520195,3.3,3.85067166284727,13.3
2018,-4.62941675714166,14.8026116933585,5.2,4.94723728039881,12.7
2019,-4.14856907147293,15.2130925728858,,5.37628990844127,12.1
2020,-3.4517971097024,15.0817033768448,,3.68181341625574,11.6
2021,9.13330681920195,15.4655261086513,,4.92841396948965,11.1
2022,2.22853832012306,13.933777682316,,10.4674244465991,10.7
2023,3.00511061205397,12.8951938413098,,8.38765854872534,10.3
2024,2.20198911444788,12.262104314813,,4.62473841057143,
