Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-4.4474039539116,19.727995687893,,,
1982,7.57441327779912,19.8798607032481,,,
1983,1.55361085240608,19.8642400119856,,,
1984,-2.94916468376044,18.7268142626567,,,
1985,1.14863657598934,18.5393917521315,,,
1986,-4.77256747580009,19.3994346700837,,,
1987,-1.99569285055699,19.3148544720368,,,
1988,-1.15203351428093,20.0207246918423,,,
1989,-0.129117373029501,18.2027795519794,,,
1990,6.75408061478512,13.3340580864522,,,81.5588080217165
1991,-1.58007320745412,14.1798511868322,9.81407968618437,,79.7197153564884
1992,2.12114068936775,14.3522871395671,,,78.1229148462824
1993,-1.13580364463596,15.5094112980846,9.79209722107646,,77.0199649456802
1994,-0.247022032588134,15.1645823030705,9.99179852036166,,76.004375083978
1995,0.457382112033372,14.3387529177067,11.5296654427,,74.6455563750405
1996,3.51462616259246,13.7788411873264,8.09012052753819,,73.051765682926
1997,1.02149134023686,13.9940121211906,,,71.1868696013831
1998,2.94509844646511,14.6351548655967,,,69.2320726861836
1999,1.81150872342602,13.506225278507,,,67.3560660909366
2000,3.53328381764008,13.1763371947313,,,65.4210321509203
2001,0.691884235752056,13.4761832385856,10.5748107696662,,63.2600195784284
2002,1.08199589782853,13.6393452151853,11.3058631665468,,61.2966481058085
2003,0.513730966524562,12.9943865593089,10.7307653772208,,59.6329531967948
2004,5.21276890359354,13.4599940013766,10.080977542226,,57.696454067472
2005,2.55566189608882,12.9863069252305,10.2209045347875,,55.950766986724
2006,3.06999444131952,12.9614503140359,7.18872189907276,,54.4236183855442
2007,3.54721215797211,12.2962506006697,6.85168888778568,,52.8788539110489
2008,1.22619254175846,12.3340776287171,6.3526400543882,,51.4334329765766
2009,0.549259271598899,13.842714732743,6.64133616867155,1.19509671165542,50.1157137000695
2010,2.58346778848453,13.3926747278465,6.95782586298267,3.94727068694931,48.6753235406891
2011,-2.50867933225504,15.2872270466863,6.98481260784163,5.06871394777982,47.2314092797263
2012,1.48847523179541,14.7374511169214,8.2016159403841,6.58147447683681,45.8282889888899
2013,-0.816467710658102,14.9621380435876,7.77126410580433,5.31623531326692,44.3361665365005
2014,0.548417697400197,15.2851682736283,7.73430907255881,4.62555099534026,42.9122440584237
2015,-0.620743185786978,15.772655643925,8.18944096633006,3.48334972287864,41.6942590967163
2016,3.83168923067576,15.7578232087568,7.92556072382967,3.7651191635658,40.5324420046715
2017,1.63751691228993,15.4216945922647,,4.97595150553836,39.5470671786103
2018,0.777894437114995,14.911044723592,,4.46231108475482,38.9459677209249
2019,-0.568460332567739,15.2681803407012,7.39159249584192,3.00538949390382,38.1549611623357
2020,-4.47920990549619,15.1313181273766,8.11797946146612,3.73003191530477,37.1789755952984
2021,2.68684885558434,13.5446284213573,8.22316545223192,5.46019980671871,36.3124355800439
2022,2.43313253925268,12.3523461654091,,8.7859883799959,35.3341433369107
2023,1.12389969737245,13.3425052226643,,7.70665764216227,34.2896652390574
2024,0.428600619167256,13.346716969348,,3.08613611099231,
