Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,,,,,27.3
1982,,,,,26.5
1983,,,,,25.6
1984,,,,,24.7
1985,,,,,23.8
1986,,,,,22.9
1987,,,,,21.9
1988,,,,,20.9
1989,,,,,20.0
1990,,,,,19.1
1991,,,3.29,,18.3
1992,,,,,17.6
1993,,,,,17.0
1994,,,,,16.5
1995,,,,,16.0
1996,,,,,15.6
1997,,,,,15.3
1998,,,,,15.0
1999,,,,,14.7
2000,,,,,14.5
2001,,,,,14.4
2002,,,,,14.2
2003,,,,,14.1
2004,,,,,14.0
2005,,,,,13.9
2006,,,,,13.9
2007,,,,,13.9
2008,,,,,13.9
2009,,,,,13.9
2010,,,,,13.9
2011,,,,,14.0
2012,,,,,14.0
2013,,,,,14.1
2014,,,,,14.1
2015,,,,,14.0
2016,,,,,13.8
2017,,,,,13.6
2018,,,,,13.3
2019,,,,,13.0
2020,,,,,12.7
2021,,,,,12.3
2022,,,,,12.0
2023,,,,,11.6
