Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-12.4535916174408,19.4184862085705,,,97.1
1982,-4.76016813093069,15.0065129965771,,,98.7
1983,-2.02532835429476,12.4489664764493,,,100.1
1984,-1.16680579675797,15.4336427169559,,,100.8
1985,-1.7387065668684,14.604140213235,,,100.8
1986,-0.923938491308903,13.1923005283114,,,100.0
1987,-1.66814871886039,14.7569174404783,,,98.4
1988,0.476736577625942,11.8766317644367,,,96.3
1989,1.09146543915431,12.078191356638,,,93.7
1990,0.129377410638895,10.8760276089413,,,91.1
1991,-9.06534604960984,11.5713415197659,,,88.5
1992,-1.81843433556932,13.4125245436577,,,86.1
1993,-0.967365507883727,12.020883010029,,,83.8
1994,-3.10023435072759,11.5913367533678,,,81.5
1995,-1.48672600372494,11.3713545969637,,,79.1
1996,-1.08018694336826,10.5087993044557,,,76.6
1997,0.372555082381069,14.4900692844774,,,73.8
1998,0.572337045613963,17.015001601157,,,71.0
1999,1.35457204239148,17.00916459262,,,68.3
2000,1.19450196549229,17.2806341833401,5.8,,65.5
2001,2.76590524360817,16.871607552486,5.35,7.91694484529588,63.0
2002,-14.9882005086862,14.894877922765,,16.4985255315846,60.6
2003,6.61414736438235,17.6633750326362,5.01,-1.70400479616297,58.3
2004,2.23191685103676,18.7526045817257,,13.9558018033211,56.2
2005,1.7317720668288,16.1210920802099,2.62,18.3638246468932,54.2
2006,2.34726337803239,16.8747091214552,,10.7656371554865,52.3
2007,2.65309950729227,19.0290385782758,,10.2879663187671,50.4
2008,3.62579150838536,14.0769771086002,,9.29650839381058,48.8
2009,-6.7569485520622,12.5086339734021,,8.95421802392948,47.4
2010,-2.26580252727942,13.1160745689745,4.28,9.24732173644116,46.2
2011,-1.26548226968092,14.1171136847924,,9.48254048582995,45.2
2012,0.20064094160324,15.0076929940252,0.599,5.71384434191048,44.6
2013,-0.444341802421619,15.6466696693396,,5.82642944451986,44.1
2014,0.605710119846222,15.8000024612157,,6.08040811088295,43.9
2015,0.445748708056158,15.1403201984676,1.785,7.40419174202131,43.8
2016,1.31063593376801,14.7612913030354,,6.03575858154679,43.8
2017,1.26236994297058,16.1225669832662,,8.60905075422951,43.9
2018,0.542519018708518,13.6033052508512,,8.59422958870479,44.2
2019,1.73013722889858,15.1061191330375,,5.61051441492363,44.5
2020,-9.49182579621846,18.7239712521771,,4.20179312190558,44.7
2021,2.05115869922781,17.4535706647451,,5.81225118787713,44.9
2022,1.60268180028298,16.4804812291018,3.186,8.16059031991847,44.7
2023,1.66887506061057,15.6489428227357,,9.87432675044886,44.2
2024,1.69312025330008,15.2990990599048,,,
