Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-3.34878165961435,,,,23.6
1982,-12.0388671719968,,,,21.4
1983,-10.061387988948,,,,19.5
1984,-1.61328212311689,,,,17.9
1985,-8.62600846774586,,1.15,,16.5
1986,-20.143466914837,,,,15.3
1987,-3.63567371623506,,,,14.2
1988,-8.84606129859837,,,,13.3
1989,5.55544428199839,,,,12.5
1990,11.5726645148372,,,,11.8
1991,-4.58878497796957,,,,11.2
1992,-1.93799997086099,,,,10.7
1993,-3.63136091579916,,,,10.2
1994,2.02491526781952,,,,9.8
1995,2.02215215126265,,1.8,,9.5
1996,-0.836570707044842,,,,9.2
1997,-0.251832471408321,,,,9.0
1998,-7.06429544482179,,,,8.8
1999,-4.20539217851935,,,,8.6
2000,3.63193280286309,,2.25,,8.5
2001,-4.86457732769436,9.91402351533425,,,8.3
2002,-3.6045063779694,10.146486288123,,,8.2
2003,2.68556331171166,9.75023354253255,,,8.0
2004,3.7155106928226,8.74669751420651,,,7.9
2005,-0.445687772577458,7.87259315554192,3.12,,7.7
2006,2.2874430309539,6.91782205479066,,,7.6
2007,-8.10764986229206,6.73299787689361,,,7.5
2008,-7.9093516619044,7.2968356174588,,,7.3
2009,-10.9561860264528,10.2341429132446,,1.5618131744907,7.2
2010,-0.804617484632033,9.6834896681256,,0.877983288285865,7.0
2011,2.7072485035069,9.67287337600639,,0.877346595685107,6.8
2012,-2.12798722685963,9.47695082659592,,0.662268900269053,6.7
2013,0.937160700846491,10.7069213443986,,1.10111836375708,6.5
2014,-0.570027636341791,10.6423158320926,,2.34626865671642,6.3
2015,1.18960692010258,12.0210761018591,,4.06996608361595,6.1
2016,0.483038734943889,12.1122932563166,1.64,1.61748808904197,5.8
2017,-2.41185607088708,13.0457765453002,2.462,1.96682557818841,5.6
2018,-0.0245088229496133,12.5099814482741,2.236,3.06863379251993,5.3
2019,0.0477460176562943,13.087529585058,2.331,-1.93108114782171,5.0
2020,-4.50466762459189,15.1795645383213,4.294,-2.0794031794094,4.7
2021,2.45717457268877,14.6108935200217,3.105,0.17993533617437,4.4
2022,2.17608343758344,12.6475207729689,2.872,5.29122604376852,4.2
2023,-0.42151086272419,12.4192015319664,2.151,1.62670837213252,4.0
2024,0.0103741735602938,,1.88,1.66336510224892,
