Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,,,,,65.0
1982,,,,,61.2
1983,,,,,57.6
1984,,,,,54.3
1985,,,,,51.1
1986,,,,,48.3
1987,,,,,45.6
1988,,,,,43.2
1989,,,,,41.0
1990,,,,,39.0
1991,,,,,37.2
1992,,,,,35.6
1993,,,,,34.1
1994,,18.0670347835262,,,32.7
1995,2.4270659709459,18.4111124649689,,,31.5
1996,-3.21774919288964,21.8178085405913,,,30.3
1997,9.64623418634368,22.1474546518432,,,29.2
1998,11.4495735284097,22.2995230837308,,5.57964505838267,28.2
1999,5.54878290672016,23.4336954485859,,5.54439180368747,27.2
2000,-10.8625929085069,25.4752410979228,10.625,2.79819892435758,26.4
2001,-11.5990690763047,27.8842071084247,21.493,1.22278475878898,25.5
2002,-14.696224583011,27.7237189943191,27.465,5.70951585976626,24.8
2003,11.1391726672237,22.8326612903226,23.004,4.40303221730888,24.0
2004,18.8484471333478,26.9926788468641,23.215,3.00417498638594,23.3
2005,8.4829084168252,27.0246015178415,20.016,4.1072507071593,22.6
2006,-3.49430234961132,26.1615840547464,19.014,3.84234125624782,21.8
2007,1.16982596233521,28.2064067953987,18.282,1.85974379351111,21.1
2008,4.51371143942183,25.0711315386299,22.913,9.88999788691849,20.4
2009,5.73457681316152,28.9733727444748,20.452,2.75393485083152,19.7
2010,3.06565425625401,25.8307080514383,21.416,3.74915727597099,19.0
2011,6.86783487502541,25.8561965296216,17.597,2.87724358495939,18.4
2012,3.51036746369036,25.6126928999705,19.202,2.77908768282493,17.7
2013,2.21485047926886,25.0209019274167,19.894,1.72439933626924,17.1
2014,-2.47102630481804,25.1842426928383,20.526,1.73298510037452,17.6
2015,1.37258508832343,25.0100197532278,23.005,1.43161145810474,15.8
2016,6.44666146094556,23.5326573798798,23.939,-0.219106604907344,15.2
2017,-0.577622802403482,20.7508680555556,25.677,0.212570934228876,14.7
2018,-1.30481419195327,21.9910792180185,26.256,-0.195107773730709,14.1
2019,-1.15161366535136,20.660110310211,25.34,1.58018333639456,13.6
2020,-13.4963869730477,23.4333653109447,25.895,-0.73533200109217,13.2
2021,4.41469534491321,23.7992158595174,26.39,1.23748102831369,12.8
2022,1.58856471383393,20.4899428660875,24.42,3.74122391852073,12.3
2023,-6.81291948696484,20.2483205307067,,5.87110177678991,14.3
2024,-28.2706767006663,20.6832420447666,31.436,53.6691458303782,
