Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-6.34428486688417,15.8291623513812,,,76.6
1982,-7.35997019822435,15.778233696972,,,72.8
1983,-0.292072197122607,15.8294479515124,,,69.0
1984,-0.579001391831696,16.0361979957088,,,65.3
1985,-1.37348572944155,15.4905211036635,16.95,,61.7
1986,-1.77325101840664,14.1810965517812,8.63,,58.3
1987,0.50182407492801,13.745705014328,,,55.2
1988,-0.149099217112905,12.7316725061338,9.37,,52.3
1989,-1.0012323906666,12.1941341726699,8.35,,49.6
1990,2.87694943624557,9.88078042377644,9.96,,47.1
1991,-0.267045668925647,10.1763833980054,7.53,,44.7
1992,5.28734272506964,9.82984086436313,7.88,,42.4
1993,4.4283085085419,9.26497093859631,9.94,,40.1
1994,3.69954329248556,9.26564813011044,7.68,,37.9
1995,3.86158381842201,9.77007249908487,7.65,,35.7
1996,0.0620554724499129,10.9275816752271,7.68,,33.6
1997,2.44459286819176,10.883207860637,7.98,,31.6
1998,2.02033395877885,11.8270781858379,7.1,,29.8
1999,1.58990630941676,12.5114219469937,7.3,,28.1
2000,0.626535379070958,13.0857417139691,6.96,,26.5
2001,0.462204790046101,13.8066587499504,6.96,,25.0
2002,1.25783126943534,14.0156943156484,6.2,,23.7
2003,1.36275661190544,13.8076841187215,6.9,,22.4
2004,0.787383831431995,13.7705773417978,6.8,,21.2
2005,2.66532259162382,13.9948292284665,7.22,,20.1
2006,4.39364908718933,14.3343485486463,6.57,,19.0
2007,1.72041607620905,14.3442032712684,6.41,,18.1
2008,1.82447186659891,14.7107143035844,5.88,,17.2
2009,-2.41599153160278,16.1016997299112,7.33,,16.4
2010,1.81801613607789,15.7115815766764,4.893,1.17933576873673,15.6
2011,3.40079170641816,15.7558896813119,4.297,5.12892376681615,14.9
2012,2.48637921457058,15.7574411476586,3.843,1.72973481581379,14.3
2013,1.76908303690966,16.3058820533528,3.693,0.757669184522923,13.6
2014,1.33132680650547,15.9541672881589,4.154,1.14134467538236,13.1
2015,2.05686593954016,16.497441787438,3.998,-0.731384487387936,12.5
2016,2.25589267443243,16.3164393340948,4.418,0.604049086996647,12.0
2017,2.0380895055328,16.1331092000982,4.385,1.01235403315575,11.5
2018,2.30913946286621,16.1096582163919,4.006,1.09033000581892,11.1
2019,2.39613321946494,16.0320209633966,4.17,0.0753241350024998,10.6
2020,-8.07562588564387,19.6968523573714,5.008,-0.37159021232411,10.2
2021,11.5271594106656,19.3467717333594,4.327,3.46692585313084,9.8
2022,2.55237486650837,18.8109426635356,2.999,7.19861615609861,9.5
2023,3.05826987824165,19.0636599462278,2.992,4.04554694222478,9.2
2024,2.13954811058277,19.1719147992815,,0.853782292567271,
