Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-5.16230488057936,,,,28.6
1982,-12.2503213996382,,,,27.3
1983,-7.23609776475168,,,,26.0
1984,-0.808335022578873,,,,24.8
1985,-6.95130510970698,,,,23.6
1986,0.795921093693323,,,,22.3
1987,-3.62991473556784,,,,21.1
1988,2.23261937378803,,,,19.8
1989,2.63310693322214,,,,18.6
1990,0.0010271539009778,,,,17.4
1991,-4.83556929422517,,,,16.3
1992,7.82129196669182,,,,15.2
1993,-4.35699356954633,,,,14.3
1994,-1.60968553843938,34.4596342596689,,,13.5
1995,-0.560501390372877,31.8547040288259,,,12.8
1996,1.47482709329236,33.0118872213697,,,12.2
1997,24.9388543086998,29.7539152058694,,,11.7
1998,5.46365137697904,31.5804966514079,,,11.2
1999,-1.15743551900648,25.6544966859524,,,10.8
2000,2.58659735173823,19.6686569934721,,,10.4
2001,-1.14955560400423,18.6262531328321,,,10.0
2002,2.16668917936438,16.7172691674706,,,9.6
2003,-0.942747091301968,15.4057177544564,,,9.3
2004,14.8021552361276,13.0670406537849,1.48,,9.0
2005,0.710908911730286,14.2956734180183,,,8.7
2006,7.05038196586418,14.7176809815397,0.87,,8.4
2007,-5.0301345727959,12.4038435027158,0.52,,8.1
2008,-0.340739470062928,10.1758174187229,0.31,,7.9
2009,-0.705591683176323,15.6331990583899,0.31,,7.7
2010,19.0058466072559,13.9838998600075,0.45,,7.5
2011,12.8218939441647,11.0390996673795,0.56,1.13836623529203,7.3
2012,-1.20907761380548,12.2483738969089,0.48,2.31534853431664,7.1
2013,-5.12874719234584,14.5557407427733,0.28,3.22197756829285,6.9
2014,-6.18524228050885,15.4671530356713,0.2,3.3497208565953,6.7
2015,-3.86137428276561,20.227279470292,0.17,1.81407723937758,6.4
2016,-2.4510094889969,19.543730900119,0.15,2.67659170098194,6.2
2017,-4.15600320402655,17.611430038472,0.14,0.394878914082963,5.9
2018,-0.134704952518092,16.2809888444084,0.11,0.255815382724384,5.6
2019,-1.52203684233693,18.4635893006111,0.1,-0.66664112486111,5.4
2020,-8.92450817587073,21.9553521383513,0.14,-2.54031503004764,5.2
2021,13.3615381417796,16.6489447943261,0.14,2.30446565742007,5.1
2022,-1.79097889792256,12.8767382072055,0.13,4.99527553740757,5.0
2023,1.23672426450278,,,3.02764899198904,4.9
2024,-4.48803422130085,,,1.26734310292379,
