Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-0.913783637050457,,,,
1982,-5.3476252998743,,,,
1983,2.26577078784958,,,,
1984,-6.25916445763262,,,,
1985,2.68217381664971,,,,
1986,6.49677699893094,,,,
1987,4.34564061934091,,,,
1988,4.25465947606716,,,,
1989,5.69517301118323,,,,
1990,-12.1958664414579,,,,
1991,0.0665111452330365,,,,
1992,-4.76852354057402,,,,
1993,-4.85588178273935,,,,
1994,5.35180564040296,,,,
1995,3.17099642734178,,,,
1996,1.34801010307754,,12.92,,
1997,1.28773186957511,,10.08,,
1998,7.56589978093101,,11.56,,
1999,1.37788444524006,,9.03,,
2000,6.93956723449121,,11.02,,
2001,0.920568578995386,,9.53,,
2002,-1.3491298806964,,8.82,,
2003,4.14298316488345,47.6199287147226,10.3,,
2004,6.6303821324005,46.2582541877696,10.44,,
2005,4.91926419216257,45.8501230494632,9.25,,
2006,5.85316581553596,45.3577245959153,8.4,,
2007,2.7505908652024,46.1040392576323,,,
2008,6.59397874864722,47.9879441474958,,,
2009,0.874906570700134,48.5991093284573,,,
2010,1.35611976495977,46.8148884784771,7.8,,
2011,-1.11918135533512,46.6899341525524,9.4,,
2012,1.53697694464276,45.7771309496246,9.8,,
2013,-0.726861643140481,47.8530455253821,10.1,,
2014,5.09192733313645,45.8403861826845,10.3,,
2015,-2.2149188822392,44.1988128798963,9.1,,
2016,4.54780858066064,42.3437611461997,,,
2017,0.0776647739674274,42.4119305960518,,,
2018,0.89068474112419,43.1423966501003,,,
2019,2.46273159433217,43.7935208900272,,,
2020,-0.0017624785013197,43.6149370695797,,,
2021,1.12101711638257,44.2577666597447,,,
2022,1.99015372527471,41.2836674676326,,,
2023,0.504111002291438,41.7101169776909,,,
