Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,1.22348875608769,29.0544789639624,,,58.7
1982,-13.2190818398298,25.7952973720609,,,58.3
1983,-6.69376014189534,27.1117166212534,,,57.9
1984,-4.81035981891441,18.0998185147433,,,57.4
1985,2.74928348562644,18.0512820512821,,,56.9
1986,-0.464646324045503,31.4746558283252,,,56.3
1987,1.42467770126129,27.3956826648724,13.09,,55.6
1988,-3.12849581057885,28.105368006413,,,54.7
1989,-4.31230716594843,16.4666021180989,,,53.7
1990,-2.42492513734094,13.6163420472266,,,52.6
1991,6.34617596741059,14.923266694041,,,51.4
1992,7.46331259893695,16.7511875722172,11.9,,50.2
1993,7.73635100621053,15.1968741966037,,,48.9
1994,8.12217163524447,15.4916244980613,,,47.7
1995,4.67607346167401,15.0062866170925,,,46.5
1996,7.65203166896895,16.2135118271072,,,45.4
1997,5.94120905202725,17.5374496164751,,,44.3
1998,-1.85177439532187,18.4374364679016,,,43.3
1999,2.83934433431648,18.9760248280568,,,42.3
2000,-1.40881252207762,24.6721060474628,,,41.3
2001,2.32701717600905,25.0806947778099,,,40.4
2002,1.24188408073948,25.727551565445,11.81,,39.5
2003,-0.560476505993833,28.0087058529542,,,38.7
2004,1.65433601876252,27.1793843032206,,,37.9
2005,-1.7571567715639,26.9140489952873,,,37.2
2006,5.39944024794079,,10.7,6.67715790410027,36.5
2007,7.48935908253156,,,12.2001544446648,35.9
2008,2.05930009878752,,,8.10202206969276,35.2
2009,3.95757174257776,,,2.95230096381001,34.6
2010,4.53289275994231,,,3.73337757704245,33.9
2011,5.63372747844741,,,4.97773563706968,33.3
2012,5.25728662587919,,,2.39193521312333,32.7
2013,3.13748133371095,,,1.90125181860584,32.0
2014,1.1191644103188,,,0.852630497539887,31.2
2015,0.0833711927134857,,,-1.00173432776374,30.3
2016,3.15936322443832,,,0.836008061506277,29.5
2017,3.06887182440371,,,1.90465615515585,28.6
2018,1.39604562755792,,13.627,1.28284288443521,27.8
2019,3.25156178245531,,13.172,2.08723089162013,27.0
2020,43.5123463015091,,,0.993337022838761,26.2
2021,18.8820438552858,,,5.03285574626701,25.3
2022,62.1110713145037,,,6.11505550109937,24.6
2023,33.0314424322445,,,2.82110335099639,23.8
2024,42.5553403529796,,,2.90395226446371,
