Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1982,,,,,84.5
1983,,,,,82.7
1984,,,,,81.1
1985,,,,,79.6
1986,,,,,78.2
1987,,,,,76.9
1988,,,,,76.1
1989,,,,,75.6
1990,,17.5989085948158,,,75.5
1991,-2.01238310352751,19.4236526946108,0.11,,75.9
1992,-23.7612021557258,17.7195493869422,0.17,,76.4
1993,-24.2568641648081,30.140127388535,0.52,,76.7
1994,-20.7755585486808,23.5111822791567,0.65,,76.4
1995,-12.8134294386306,12.7940762958103,0.8,,75.5
1996,0.280213889570334,12.017858449828,0.9,,73.7
1997,4.78428235238688,12.6112148940886,1.03,,71.1
1998,8.96088676293809,15.1572400162762,1.13,,67.8
1999,6.46158407611676,15.6128314481736,16.25,,64.0
2000,10.1910292674816,15.1501663805345,11.78,,59.9
2001,9.05182186490225,13.6466250282188,10.91,,55.7
2002,8.62535113851197,12.4041237113402,10.04,,51.7
2003,9.37646097029317,12.3892814664521,9.17,,47.9
2004,8.30153801248458,12.9000492368291,7.99,,44.5
2005,26.6600947307444,10.4220403274107,7.26,,41.4
2006,32.9970663204964,8.53986407912003,6.62,8.3289248286321,38.6
2007,24.0486789316636,9.66026692054089,6.33,16.6997549618244,36.1
2008,8.29339079060354,8.49511176664042,5.86,20.8490871772712,33.7
2009,7.12223873867468,11.1234077215848,5.74,1.45704835970321,31.6
2010,3.54945565734815,10.8814317673378,5.63,5.72687224669605,29.5
2011,-2.8471829529599,10.1276832686917,5.42,7.8583333333334,27.5
2012,0.85388605157199,10.5259600648111,5.19,1.06621339720303,25.7
2013,4.48320302714377,10.2832491148465,4.97,2.41571745279419,24.1
2014,1.52243157217873,10.8858730371216,4.91,1.37344181533176,22.5
2015,-0.147024803718438,12.4082383229128,4.96,4.02768573742726,21.1
2016,-4.1411749032482,12.8320634437288,5.0,12.4433748584372,19.8
2017,-0.824348483224085,11.3414124411056,5.0,12.9359184187335,18.7
2018,0.624884409708869,10.4664635668981,4.9,2.26854690373999,17.6
2019,1.61582957425298,11.1234709302752,5.0,2.61057182799215,16.6
2020,-4.85235154597305,16.2189420775689,7.24,2.75980947008127,15.6
2021,5.15148935615073,13.867442319577,6.04,6.65029912708779,14.8
2022,4.67331801395174,11.6421479898517,5.65,13.8522590144267,14.1
2023,1.23267975524143,13.81500937233,,8.78543049849081,13.3
2024,3.57269253001031,14.3667334193467,,2.21217188919901,
