Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-0.287791268389398,15.0992682724718,,,98.1
1982,2.91098891233696,16.1849716595944,,,86.9
1983,1.88412406994871,16.2173732771297,,,75.1
1984,2.05622585528499,16.0313902477679,,,64.3
1985,0.229398496603636,16.7181584306133,,,55.5
1986,-2.85296270395477,18.9983304224347,,,48.9
1987,-3.65704095206092,19.4315721200527,,,44.4
1988,-3.73441250470079,20.1144484587383,,,41.8
1989,1.67998285930979,18.0014175378966,17.64,,40.4
1990,-1.66808064996022,16.0669306193343,21.26,,39.8
1991,-3.52712947648031,14.7187690708191,20.6,,39.6
1992,-0.649140042449275,16.0179356226305,24.38,,39.6
1993,-4.42745904751482,17.3241859122684,26.23,,39.5
1994,-3.0685083752782,17.8746231496666,27.74,,39.2
1995,1.67474517206692,16.7637898364963,31.84,,38.8
1996,2.08184989450046,15.7743188040564,,,38.2
1997,-0.767068614422456,16.5383785645998,25.43,,37.4
1998,3.43950503955708,17.7919085156143,,,36.6
1999,1.77694241787516,16.7872347521677,,,35.7
2000,2.35726435010288,13.5839456347184,29.77,,34.7
2001,1.59517814379704,15.1061980679688,27.3,,33.6
2002,4.00705031536965,15.8283010861494,25.9,,32.4
2003,5.09333212662064,15.1191333175551,23.72,,31.3
2004,3.05086148235007,13.9668642251548,17.65,,30.1
2005,3.86890214242119,12.4253615606667,15.27,,29.0
2006,1.32618894855368,11.9514452302174,12.27,2.31149918514424,27.9
2007,1.39346833661227,12.3881656291708,13.79,3.678995747417,26.9
2008,0.652527943948144,13.7657607144016,11.33,4.85859062814938,25.9
2009,-0.72042057547074,16.3715688126633,10.16,5.73706036145628,25.1
2010,2.77921908194712,16.9633056770368,9.96,3.91106195534029,24.4
2011,1.00399237129356,20.1129065782839,9.96,4.5242115050527,23.8
2012,0.379563284418055,19.7502925593678,10.97,8.8914509106232,23.2
2013,0.548743629610698,18.535080427414,9.82,3.25423910998842,22.7
2014,2.00005200987388,18.9932826125176,10.207,2.91692692067458,22.3
2015,1.09962061859601,20.5244656437501,11.206,4.78444700693894,21.9
2016,1.78594064734014,20.0218426111777,10.202,6.39769480268751,21.6
2017,-0.541667024495979,18.8290421977276,12.0,5.5911159096167,21.3
2018,-0.546019580108478,17.4037117605062,,4.26999020467083,21.0
2019,-0.939992962004737,18.2610260787535,,1.95176821052892,20.7
2020,-6.61247509707083,19.8031597171656,,2.41513094083414,20.4
2021,2.13263632683078,18.4286289389909,,7.22606307415475,20.2
2022,1.96825188100587,16.5359089102657,,9.26551551551555,20.0
2023,2.55120301943617,17.9279465789317,,9.32217375928319,19.7
2024,1.86551988917833,,,4.04611455313438,
