Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-3.66574052775007,30.3712908371449,,,55.4
1982,0.564164779692348,35.1420009909789,,,53.7
1983,-15.6181775930612,43.3824578084146,,,52.1
1984,-4.51053591606907,34.287226219684,,,50.6
1985,-0.957028055065692,29.5221092740378,,,49.3
1986,2.10391665862136,35.8503958503958,,,48.1
1987,6.34850985229411,32.2375,,,47.0
1988,-2.31190068127913,32.2145716902873,,,51.3
1989,-5.66113678617484,29.3518686391054,,,55.7
1990,55.872942314425,10.9822713740356,,,54.8
1991,-64.4235820475039,16.567808987176,,,48.7
1992,28.7262616646537,7.55062184862269,,,43.3
1993,24.1804989009327,4.90345157997792,,,42.7
1994,-0.985588929012721,2.57697251046809,,,42.1
1995,-1.24405312450729,2.33168693478405,,,41.5
1996,7.53308314950148,2.44204185970716,,,40.9
1997,17.5462697125811,8.52411001975466,,,40.3
1998,30.8254376046276,17.6376900471641,,,39.7
1999,13.8387011482436,11.2586945258951,,,39.0
2000,13.0301611362924,11.8387149559557,,,38.4
2001,-1.35847551126994,15.7062935317841,,,37.7
2002,-11.0582696179366,19.3061980262286,,,37.0
2003,-38.5382182871903,12.2747950007322,,,36.4
2004,49.0738525824483,25.5637373962129,,,35.7
2005,-1.29394759634579,19.9682737953206,,,35.0
2006,4.86652515076509,15.6760902891501,,,34.3
2007,2.69566336957755,18.7262407974136,8.646,,33.5
2008,6.06351402987207,16.6463870606304,,,32.7
2009,-0.359808708496018,21.063292705435,,,31.8
2010,3.01924651269078,18.9188448476728,,,30.9
2011,3.81441942451566,19.6730397838995,,,30.1
2012,8.88055394419878,16.5831656707271,7.965,,29.2
2013,2.6646473210161,17.4553799427346,,,28.4
2014,-1.2842545257663,18.0026366207318,10.59,,27.5
2015,-0.153622231589026,18.6660985734816,,,26.7
2016,11.0984155585203,18.3892282517436,10.82,0.556521397155535,25.9
2017,-3.98546687274897,16.3052516699702,13.02,0.184058898847663,25.1
2018,0.267762550620816,15.8794898494183,,0.36744148893688,24.4
2019,3.14043943264693,19.3153864358706,,-0.198965380023939,23.6
2020,-13.9675322686437,22.5089088159129,,0.574162679425837,22.9
2021,-0.74745630947109,17.7173083564783,16.173,6.0418648905804,22.2
2022,5.51097802061808,13.7692467945466,,4.99476596381041,21.5
2023,-1.72015237086252,17.527542508163,,4.35835351089588,20.8
2024,-3.6151190083088,20.3142335991866,,-12.2969837587007,
