Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,3.50388629389494,14.3720738675364,2.2,4.91216291820522,7.0
1982,2.56581541913945,14.4874970981903,2.4,2.7410409556314,6.5
1983,2.91186541361184,14.5277976279808,2.6,1.89971971348485,6.2
1984,3.73615647910013,14.3078536311297,2.7,2.26161369193155,5.8
1985,4.50363061476536,13.9959335513739,2.6,2.0322773460849,5.5
1986,2.74561524729424,13.9202706254351,2.8,0.595586799453245,5.2
1987,4.14563058830026,13.8581145703011,2.8,0.126176841696592,5.0
1988,6.21872855338339,13.4700096288535,2.5,0.67855758045755,4.8
1989,4.50717015963824,13.3367102251523,2.3,2.27228962064317,4.7
1990,4.4936612037378,13.3193263921511,2.1,3.0785162869516,4.6
1991,3.11749463335597,13.3603123526588,2.1,3.25143848753308,4.5
1992,0.526745036286385,13.7426283498214,2.2,1.76028306059271,4.4
1993,-0.781376228236013,14.3483678224167,2.5,1.24304589707924,4.4
1994,0.801559685146586,14.7483119048313,2.9,0.695458057868984,4.3
1995,2.39051955802327,15.079728572976,3.2,-0.127899045020453,4.1
1996,2.90014123428134,15.1459373245418,3.4,0.136600358575942,4.0
1997,0.740905952757132,15.3019416593352,3.4,1.74780458692129,3.8
1998,-1.53824407567605,15.6654067661838,4.1,0.661974191385939,3.6
1999,-0.515740589995616,16.216773574862,4.7,-0.341296928327602,3.4
2000,2.59289108643961,16.549191407008,4.748,-0.67657868359508,3.3
2001,0.144511690081188,17.2289905143177,5.02,-0.740055504162812,3.1
2002,-0.190392013639268,17.7749067788644,5.386,-0.923494026942286,3.0
2003,1.31809196260171,17.8364695899716,5.251,-0.25654181631606,2.9
2004,2.15172332915763,17.7233548337375,4.734,-0.0085733882030604,2.8
2005,1.79433980048837,17.7438933244397,4.446,-0.282946068764429,2.7
2006,1.3081271829718,17.595075361072,4.192,0.249355116079105,2.7
2007,1.36742232597771,17.6343087480996,3.888,0.0600394544986545,2.6
2008,-1.27210994875956,18.025030322619,4.002,1.38007886164926,2.5
2009,-5.68145234041657,19.3337393097808,5.068,-1.35283672951723,2.4
2010,4.07922304856318,19.2025962424431,5.102,-0.728243207517766,2.4
2011,0.209251802844406,19.885399284228,4.55,-0.272455616101245,2.3
2012,1.53678665868971,19.9573325085164,4.358,-0.0440645104432608,2.2
2013,2.15237106568597,19.854370134417,4.038,0.335037912184772,2.2
2014,0.429381122519686,19.9261773555302,3.589,2.75922671353253,2.1
2015,1.66846511717627,19.617744139153,3.385,0.795279630579784,2.0
2016,0.805362824501671,19.6572481017318,3.132,-0.127258844489712,2.0
2017,1.75861180168305,19.4117955495929,2.822,0.484199796126422,1.9
2018,0.771168471505248,19.5636743323798,2.467,0.989094598021811,1.9
2019,-0.262170828573062,19.9451059201578,2.351,0.468776159383928,1.8
2020,-3.88641911578898,20.9756766472836,2.809,-0.024995834027682,1.8
2021,3.17001738751661,21.2457665716874,2.808,-0.23335277939831,1.8
2022,1.39102754851621,21.5663525457355,2.614,2.49770278172251,1.8
2023,1.97080161121153,,2.6,3.26813365933164,1.8
2024,0.520666034926037,,2.5,2.73853681635243,
