Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,4.55114422945113,14.7350636278668,,,18.8
1982,2.03229416414521,15.0105125288664,,,18.1
1983,3.17252088190827,15.4960992265534,,,17.4
1984,3.15480736579876,15.1302931081845,,,16.6
1985,2.6849533954788,16.5753958392774,,,15.8
1986,4.23524126828212,16.9478674637896,,,14.9
1987,5.89861249442025,16.8729281465483,,,14.4
1988,10.8200908465449,16.3238588502833,,,14.2
1989,-2.15169070515859,16.5346949913086,,,14.2
1990,-7.46320765365316,18.1865848876199,1.7,,14.6
1991,-7.53406885746301,19.033161385409,11.1,,15.0
1992,-6.27126388892331,20.3361553784861,15.3,,15.3
1993,-0.691213573224346,18.8558046169287,16.4,,15.4
1994,2.16435885208668,17.1893074581431,12.8,,15.4
1995,3.32118683454215,15.3481641512703,11.1,,15.5
1996,5.74936943822505,13.8490054815903,12.5,121.60754244925,15.7
1997,-13.5909223773469,12.1431675540765,13.7,1058.37355921973,15.7
1998,4.48402377073305,18.3452571005378,12.2,18.672204442064,15.4
1999,-7.88107317720096,19.6065030074748,14.1,2.57304281890205,14.9
2000,5.10505578940304,19.7851119720333,16.218,10.316262128999,14.3
2001,5.91116032311277,19.368455899514,19.921,7.36093927231843,13.8
2002,8.19521644540045,19.178153843914,18.11,5.81014365721825,13.2
2003,6.07406173618912,20.1105898204731,13.733,2.34864169582755,12.5
2004,7.31740431202658,19.3619098932735,12.037,6.14713074246274,11.8
2005,7.86550192097609,18.1535666491695,10.083,5.03883807111902,11.0
2006,7.61684923191284,18.1469405300315,8.951,7.26159462769945,10.4
2007,7.44148862736087,16.6883257645924,6.878,8.40253419005901,9.9
2008,6.87712691687372,17.1498257945905,5.609,12.3487195994021,9.6
2009,-2.72241467470245,16.7393574315573,6.817,2.75320223914816,9.3
2010,2.22607879962553,16.5024385412597,10.279,2.43899060504113,9.1
2011,2.74691033630859,15.849987567536,11.26,4.21990346601874,8.7
2012,1.33406609476458,15.790962526113,12.27,2.95456829831017,8.3
2013,1.48366063661148,17.0826070059115,12.941,0.890093540913077,7.8
2014,2.18296491228091,16.833076863621,11.424,-1.41818380264845,7.3
2015,4.72028572951304,16.089141458635,9.143,-0.104633261008384,6.8
2016,4.37288216096772,15.5888636114576,7.575,-0.798649886453677,6.4
2017,4.11523925885024,15.5845769435159,6.164,2.06159619443141,6.1
2018,3.96557892268434,16.4413955723422,5.211,2.8145447382483,5.8
2019,5.26444792337858,16.7729754809183,4.148,3.10372944796774,5.5
2020,-2.24016707410934,19.3076450675755,5.037,1.67244096855763,5.4
2021,8.49936745511968,18.8851860438699,5.166,3.29774435299508,5.2
2022,4.7179402574691,18.2789290615071,4.148,15.3252589264367,5.1
2023,2.1792184519766,18.4205974000082,4.319,9.44284140088566,5.0
2024,2.84640427654411,19.681179888458,4.165,2.44651943006078,
