Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-8.93705314915371,,,,128.9
1982,-1.46467561939698,,,,127.8
1983,-0.294158569249731,,5.4,,128.8
1984,1.32134940671426,,,,131.3
1985,0.62310053551127,,,,134.2
1986,-3.82396507891448,,,,136.7
1987,-3.11334092762722,,,,138.0
1988,-2.24590210716451,,,,137.8
1989,-3.32657460446772,,,,136.0
1990,1.5997050726011,,,,133.1
1991,5.4346573203748,,,,129.5
1992,-9.99229540689642,,,,125.5
1993,8.10315787740552,,,,121.6
1994,-9.1882192265535,,,,118.2
1995,16.8987563989012,,,,115.1
1996,5.22149204417653,,,,113.2
1997,1.73065958671548,,,,111.4
1998,1.67311324947686,,,,109.1
1999,0.66457828968673,,,,105.5
2000,-0.830828162365975,,,,100.2
2001,-7.24640554406461,,,,93.1
2002,-0.760072947056585,,,,85.1
2003,3.09254835285383,,,,77.2
2004,2.72895046279207,,,,70.2
2005,0.539880654549222,,0.942,,65.1
2006,1.85481455109522,,,,61.9
2007,6.55134655734449,,,,59.9
2008,4.5585561584534,,,,57.3
2009,5.17234875360792,,,,55.5
2010,3.76961752338009,,,,53.6
2011,1.91798932347378,,1.736,7.6228226284852,49.9
2012,-0.983601161818072,,,21.271265001378,46.6
2013,2.46076368480048,,4.978,27.2833333333333,43.6
2014,2.70386402914775,,,23.7920649469687,41.4
2015,0.0079251828197612,,,21.8673475542553,39.3
2016,-0.256367435160101,,,21.7111132136499,37.6
2017,1.22138049385239,,3.77,11.5433939188771,36.1
2018,1.60299745635619,,,12.420178108921,34.5
2019,2.9515101541935,,,9.3708360560567,33.6
2020,-1.82835240679078,,0.907,8.62551469650552,32.3
2021,1.88076432929152,,,9.33014410835212,31.4
2022,-1.63749399398691,,,20.953969729969,30.5
2023,-0.694162804013459,,,28.7897428247298,29.4
2024,-0.763124396332088,,,32.1796504225026,
