Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-12.1599481202361,,0.7,,54.4
1982,1.18898448962564,,0.56,,55.4
1983,-5.59794090999824,,0.48,,56.6
1984,-7.80926946001769,,0.34,,58.0
1985,7.02251169759136,,,,59.5
1986,-7.94337715992744,,,,64.5
1987,-5.28956639669342,,,,62.1
1988,-0.63543114584715,,,,63.2
1989,0.522097002820658,,,,64.2
1990,-4.54035035808427,,,,65.0
1991,-0.986502855129885,,,,65.6
1992,-1.19672530387369,,,,65.8
1993,-0.726460943635203,,,,65.6
1994,0.456013669997787,,,,64.9
1995,0.364462927056991,,,,63.6
1996,-0.0318143345786694,,,,61.8
1997,-0.428599449412303,,,,59.5
1998,1.16804370483166,,,,56.9
1999,1.2831775781198,,,,54.0
2000,-0.65084592250922,,14.4,,50.7
2001,1.4048895414449,,15.73,,47.5
2002,0.9147926463327,,17.63,,44.2
2003,5.55138791437551,,16.36,,41.0
2004,0.983351604603726,,16.12,,37.8
2005,4.01981821374629,,16.47,,34.9
2006,6.23775372046612,,16.65,,32.2
2007,1.16067244882319,,,,29.6
2008,3.72699030635786,,,,27.3
2009,0.944228915067228,,,,25.2
2010,-0.755150615358019,,,,23.2
2011,-0.114189921572034,,,14.3271667616801,21.4
2012,0.883420959148197,,13.59,10.6379353431628,19.7
2013,3.10107564312558,,,8.10583270875473,18.0
2014,2.97674276212585,,,6.9984994396642,16.5
2015,-0.246825905363622,,,5.24587835022454,15.1
2016,3.42223386315462,,,5.43051966119157,13.9
2017,2.46252459071385,,8.808,5.69029619929019,12.9
2018,2.78057714923384,,,7.86859628873909,12.0
2019,0.482132360625684,,,7.72024525213249,11.3
2020,0.716646434339125,,,9.81932791540148,10.7
2021,-0.17852659147141,,,8.13777038378729,10.2
2022,-1.75407310474412,,,18.0056351122841,9.8
2023,-1.6128371937285,,,21.2589138473,9.4
2024,-1.0984136680168,,,14.3519273571008,
