Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-4.35702244931034,18.2251305686179,,,94.8
1982,6.09558534032797,17.9383874238685,11.503,,90.8
1983,-1.22675307289562,16.4747622261415,,,86.9
1984,3.78166646169767,15.851528630314,,,83.2
1985,3.50437639960224,17.1929982326408,,,79.6
1986,6.90663147405301,17.7440862560006,,,76.2
1987,-2.29599450642142,18.4344941425335,14.7,,73.1
1988,9.74037643742669,17.5497562375996,13.9,,70.2
1989,0.9507648054133,17.3414832161909,16.3,,67.6
1990,1.55138144572757,15.6975493484979,15.8,,65.1
1991,5.37416537843612,15.5738195976054,16.98,,62.8
1992,-3.71287726230331,16.4648336860816,15.68,,60.6
1993,-2.3082713662061,17.9402510908716,15.69,,58.5
1994,8.93493014775943,17.3529143473192,17.931,,56.4
1995,-6.85093735561554,18.0348883814997,22.86,,54.4
1996,10.6261769917233,15.797244496597,17.76,,52.4
1997,-3.05848049935375,17.0186462627484,16.67,,50.5
1998,5.6191020810503,14.3046716040456,19.12,,48.7
1999,0.193527268702582,15.401886989643,13.94,,46.9
2000,1.11923449171742,15.9016441146066,13.58,,45.2
2001,6.22462901700752,16.1030818469656,12.46,,43.5
2002,2.33486055707684,15.8265248737495,11.59,,41.9
2003,4.79759279351288,15.6322916129518,11.92,,40.2
2004,3.20713471239438,16.147933012371,10.83,,38.5
2005,1.78494971981462,16.7934779654902,11.01,,36.7
2006,6.31205425044466,16.1386944575568,9.67,,34.9
2007,2.03302704420354,15.9218030895099,9.56,,33.1
2008,4.24978033517071,15.2331473156845,9.57,3.71484311494064,31.4
2009,2.34392549842086,16.7508457194611,8.96,0.971862998667637,29.7
2010,2.07976488720576,16.5869372261684,9.09,0.993557401226421,28.2
2011,4.06561020586629,17.2210400602812,8.91,0.906924909691798,26.7
2012,1.66384638357194,18.2279591190152,8.99,1.28712240079214,25.3
2013,2.7578648778037,18.3285750203973,9.23,1.88065466724084,24.0
2014,1.43852495314533,19.1051211538423,9.7,0.442310053557046,22.7
2015,3.10634719191513,18.1564372764046,9.46,1.55790711346268,21.6
2016,-0.693616602037565,18.3617257132517,9.3,1.63531114327063,20.5
2017,3.78371209116371,17.9819739836974,,0.754663249323624,19.6
2018,1.91410663270995,17.9957615100603,,1.80391671141895,18.7
2019,1.81642055572905,18.1789365690301,,0.303386036590358,18.0
2020,-8.13866950405836,19.4049859563358,,0.705968661338224,17.3
2021,7.0606299574828,18.9738383456202,12.28,1.40195883962015,16.6
2022,0.496491363740688,19.0589963008001,11.79,6.65704202759066,16.0
2023,2.33822924451532,18.1062323778597,,6.09114152504136,15.5
2024,2.22355411739446,17.9640793069318,,0.985256592004508,
