Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-15.7585051262645,,,,104.8
1982,-9.55081765331822,,,,103.6
1983,-13.204804462126,,,,103.1
1984,-3.61771426892366,,,,103.0
1985,2.95446539768378,,,,103.3
1986,-2.62075281914916,,3.94,,103.8
1987,0.48653711282725,,,,104.4
1988,4.50152275031108,,,,104.8
1989,-0.787791828905881,,,,105.3
1990,8.79614634151105,,,,105.5
1991,-2.25751903462219,,,,105.7
1992,1.92006635002693,,,,105.8
1993,-4.59723301462512,,,,105.9
1994,-4.37439193637934,,,,105.8
1995,-2.67294759162876,,,,105.4
1996,1.50723164585267,,,,104.7
1997,0.292131866739112,,,,103.4
1998,-0.0648532095971035,,,,101.6
1999,-2.03256096941411,,,,99.5
2000,2.24461411109782,,,,97.1
2001,3.07926731844437,,,,94.6
2002,12.21038628322,,,,91.9
2003,4.42833467516168,,,,89.1
2004,6.26527336879519,,,,86.4
2005,3.53183710668013,,,,83.7
2006,3.1709281033699,,,8.22522152017049,81.2
2007,3.67720698171627,,,5.38800796858628,79.0
2008,3.83258898509777,,,11.5810751748252,77.1
2009,5.06718321393261,,,12.5378277304689,75.4
2010,5.02853779310237,,,13.7400521363694,74.0
2011,2.39734841623149,,3.77,10.8261371880017,73.0
2012,1.37822146587277,,,12.2242413020584,72.0
2013,3.81449207685272,,3.711,8.49551838265672,71.4
2014,3.53757268118497,,4.562,8.04741087967908,70.8
2015,0.0819795778254502,,4.311,9.00943498007703,70.2
2016,-4.01892534268519,,7.06,15.6968126387972,69.5
2017,-1.61585537268624,,8.389,16.5022662139641,68.6
2018,-0.406836852099204,,,12.0951065173432,67.4
2019,-0.0100047593981571,,10.695,11.3964223378115,66.1
2020,-3.86420100251684,,,13.2460234276598,64.7
2021,1.49716084785834,,,16.9528457221608,63.2
2022,1.11326739395624,,3.827,18.8471877843274,61.6
2023,0.724295703712912,,3.074,24.6595502031139,60.1
2024,1.29437207004486,,3.454,33.2420966545405,
