Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,,,,,131.5
1982,,,,,129.7
1983,,,,,127.9
1984,,6.50406523101329,,,126.2
1985,2.20041867968716,8.73239427309396,,,124.5
1986,1.97501637779287,8.64928911588071,,,122.5
1987,-4.18795903851054,8.29831941164333,,,120.4
1988,-4.77692163066391,10.8603065358281,,,118.2
1989,10.9653509962859,,,,115.9
1990,3.7107564838131,,,,113.4
1991,1.40025340364474,,,,110.7
1992,2.6769238807299,,,,108.1
1993,3.07739171807499,,,,105.3
1994,5.36666889160745,,,,102.6
1995,4.42161502950582,,2.6,,99.9
1996,4.46434380896963,,,,97.2
1997,4.66634480033544,,,,94.6
1998,2.06080647085234,,,,92.1
1999,5.4475157802012,,,,89.5
2000,4.03726532497247,6.4615689478842,,,86.8
2001,4.02249661411516,6.48704579220217,,,84.1
2002,4.23097600258968,8.90327824267851,,,81.3
2003,4.44645858943204,7.65853344844822,,,78.4
2004,4.81831567317876,7.74505555785671,,,75.6
2005,5.50361623488958,8.16548558878476,1.35,,72.7
2006,6.91294627933061,7.57232578892573,,6.54559439052787,69.8
2007,5.94392449426221,7.91603668443372,,4.66197269469702,66.9
2008,6.19878841672832,7.77268081154613,,7.62880887577516,64.1
2009,5.90563851314371,13.3794241962492,,0.14118767498038,61.3
2010,6.94116593325336,11.8982241208958,0.708,5.98254521550086,58.7
2011,6.48536557882839,11.564752617982,,7.56898856109974,56.1
2012,6.49513527103458,13.4167137797277,,4.25512677832095,53.7
2013,6.51642199042166,17.0739467617107,,6.37142717782939,51.4
2014,6.13842534644749,15.1805486591378,,4.12924306873774,49.2
2015,5.71702901311374,15.1066545133558,2.006,1.27735427102992,47.1
2016,5.36288912313843,13.9709429126153,,1.59691227583207,45.2
2017,5.2271106715724,,3.268,0.825478607568033,43.5
2018,4.60986171989208,,,2.04039266890203,41.9
2019,3.86091278109465,,,3.32255881256922,40.4
2020,-0.986715601107164,,,5.10407262959923,39.0
2021,1.06109059992194,,,3.75562036658876,37.7
2022,1.2697005231296,,1.209,22.9562225132056,36.4
2023,2.31116087572821,,,31.2301341732645,35.2
2024,2.85166385301163,,,23.1305695942589,
