Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,3.75766171325887,,,,38.0
1982,3.59346572905743,,,,34.4
1983,1.33757614779626,,,,31.2
1984,5.74601657425153,,,,28.4
1985,5.37790770774799,,,,26.0
1986,4.85084730919915,,,,24.0
1987,-0.219401447443673,,,,22.4
1988,13.3974088997102,,,,21.2
1989,0.846053659284522,,,,20.3
1990,3.64619461199149,,,,19.7
1991,0.766079149440529,,19.77,,19.2
1992,6.10658038959106,,,,18.9
1993,4.04173919943855,,,,18.8
1994,-1.40766591680416,,,,18.8
1995,7.64367574826734,,,,18.9
1996,1.22344246518328,,,,19.1
1997,3.48502454079123,,,,19.2
1998,4.05432713327265,,,,19.4
1999,2.54179354025959,,,,19.5
2000,1.47880127546429,,,,19.5
2001,1.78767492091447,,21.1,,19.6
2002,5.48525117619123,,,1.85550399046654,19.7
2003,6.88559351311582,,,0.205981708824252,19.8
2004,4.39705000606179,,,2.96003946719287,19.9
2005,2.83945191097459,,,3.73342916467021,20.0
2006,7.41339795731157,,,2.74067516070672,20.1
2007,3.77042261406409,,,7.23614701584807,20.1
2008,0.859512861875416,,18.79,10.0662418245849,20.0
2009,-0.914124585036191,,,0.421539125687218,19.7
2010,-3.99351095016873,,,0.747109026311472,19.3
2011,-0.0518118530617357,,,3.18603111552463,18.6
2012,1.73945379802912,,,2.59844414147094,17.9
2013,3.0319570809024,,,0.805127804267927,17.1
2014,1.81518813615298,,,0.193858560794014,16.3
2015,3.3357071712289,,,-1.73361194953954,15.4
2016,4.74427453656862,,,-0.149641647633268,14.5
2017,2.10747081817043,,,2.15333648840511,13.6
2018,3.90031671690731,,,2.32414485367922,12.8
2019,1.40193657114291,,,0.91306972532454,12.0
2020,-3.67618803165428,,,-0.62813130935467,11.4
2021,2.77342166309265,,,1.57272932500558,10.8
2022,3.91412869594379,,,5.66009779226555,10.3
2023,6.07793111453327,,,4.56457719814893,9.9
2024,4.79304780177681,,,3.62770736940929,
