Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1981,-4.70667593294452,,,,126.6
1982,-5.41799845238262,,,,123.1
1983,-1.04448158918315,,12.2,,119.6
1984,-1.65138144860573,,,,116.3
1985,-1.37293043186439,,,,113.0
1986,-2.47081729725178,,,,109.8
1987,-2.77929250001687,,,,106.7
1988,-1.8258071813457,,,,103.7
1989,-4.88827222197391,,,,100.8
1990,-1.02129198833929,,11.25,,98.0
1991,-0.173086383540081,,,,95.2
1992,-7.18236675047231,,,,92.3
1993,-7.26639617990007,,,,89.5
1994,-13.6308577536038,,,,86.7
1995,7.82292405059231,,,,83.8
1996,2.18145500226173,,,,81.1
1997,0.785892869122677,,,,78.3
1998,0.293961772099124,,,5.269035470422,75.7
1999,0.830848511128352,,7.2,3.00439421550735,73.1
2000,-0.974737113523176,6.98287753877131,,9.33322197565601,70.7
2001,-2.14318391327505,7.36101271908804,,13.31672224251,68.5
2002,-0.729374655833098,7.83409664630392,,7.03287406224599,66.5
2003,1.6820034644329,7.91079280473985,,28.6995777887374,64.7
2004,-2.98301062977993,7.33605408114726,,21.0318339277222,63.1
2005,1.35443141019209,6.59830847376764,,13.973008326384,61.7
2006,0.0540583442750062,6.84319296258427,,11.3452152244299,60.4
2007,2.95569722727539,7.67562120103412,16.8,6.55722772638066,59.1
2008,0.961802640900089,8.14405690616605,,15.2817744823772,57.9
2009,4.15489282064615,6.98508151629048,,0.393886040173337,56.8
2010,-6.7459038549499,7.27840732548793,,4.82734190074673,78.6
2011,3.91514494215959,6.55241371085916,,6.33279483849045,54.6
2012,-1.04324222181728,7.43953745212035,14.1,5.01804155429243,53.4
2013,2.767509667507,7.19118472596498,,4.7650240477914,52.4
2014,1.39231187945737,7.66400253789781,,3.43816659958603,51.2
2015,-0.0454395053176881,8.25780291243123,,6.73184069659001,50.0
2016,0.398402974127237,8.20929017383708,,11.5029073942666,48.7
2017,1.12394427912376,7.89768746069131,,10.6800887242584,47.5
2018,0.326678559605597,8.26343071867152,,12.4814111170435,46.3
2019,-2.98683711868885,7.19135114705545,,18.7037825672506,45.0
2020,-4.49816442182016,7.31205557129014,,22.7963113642528,43.8
2021,-2.92695804339543,7.47295579775888,,16.8415240198785,42.5
2022,-2.7846808475344,6.90413793385249,,33.98393194707,41.5
2023,-2.99212843762332,6.2167919005445,,36.8135162780853,40.3
2024,-5.26984833324718,5.68589013282049,,26.9490564091987,
