Year,GDP per capita growth,Govt consumption,Unemployment,Inflation,Mortality rate
1985,,,,,125.2
1986,,,,,117.2
1987,,,,,109.9
1988,,,,,103.0
1989,,,,,96.5
1990,,,,,90.5
1991,,,,,84.9
1992,,,,,79.6
1993,,,,,74.6
1994,,,,,69.6
1995,,,,,64.9
1996,,,,,60.2
1997,,,,,55.7
1998,,,,,51.4
1999,,,,,47.3
2000,,,11.629,,43.4
2001,,,57.0,,39.7
2002,,,55.0,,36.3
2003,,,49.7,,33.1
2004,,,39.7,,30.3
2005,,,41.4,,27.7
2006,,,44.9,0.621646938601728,25.4
2007,,,46.3,4.35849695328369,23.3
2008,,10.1252007364317,47.5,9.35041764658178,21.5
2009,5.39636701673933,11.3046300992039,45.4,-2.41026401661229,19.8
2010,5.28831482675317,12.2780011858129,,3.48050763735844,18.3
2011,6.12959202990389,12.6934632512011,,7.33641771315268,17.0
2012,0.857974394903721,13.0191229435717,30.879,2.47673782156537,15.9
2013,4.70387084053738,12.9470521748527,29.767,1.76732428354884,14.8
2014,3.65273027273803,13.5871191030395,35.264,0.428957808324131,13.9
2015,7.36815111994392,13.608097246187,32.84,-0.536929392740622,13.0
2016,6.20761650241487,12.0848144799198,27.491,0.27316943104545,12.3
2017,4.03838879864328,11.8229560623089,30.344,1.48823430592319,11.5
2018,3.05752931278261,12.1025924972731,27.761,1.05379773654994,10.8
2019,5.23669676312298,12.4854382801326,25.069,2.67599202639889,10.2
2020,-5.40690184268419,13.9131774135574,25.459,0.198227922994847,9.6
2021,10.9981400491097,12.8723308672227,20.392,3.35369139207997,9.1
2022,5.33909761737917,11.7917287704535,12.093,11.5805104542013,8.7
2023,9.35107522909426,12.5993329798923,10.533,4.94432438791278,8.3
2024,15.0325494190078,12.3490325460438,,1.61944994559479,
